DATUMS;VALUTA;SUMMA;PARTNERA NOSAUKUMS;PARTNERA BANKA;PARTNERA BANKAS SWIFT KODS;TRANSAKCIJAS TIPS
30.12.2023;EUR;20,49;LATVIJAS APTIEKA 3\Juras iela 60A, Engure\TUKUMA NOV,\LV-3113      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
31.12.2023;EUR;0,26;SEB banka;;;XTNDNTAVNTAV-Apkalpošanas maksas pazi?ojums
31.12.2023;EUR;1,9;CIRCLE K TUKUMS       \MEZA IELA 30              \TUKUMS, TUKUM\LV 3101   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
31.12.2023;EUR;6,16;N05286 Meness aptieka\Pasta iela 14\Tukums\LV-3101   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
31.12.2023;EUR;7,07;CIRCLE K TUKUMS       \MEZA IELA 30              \TUKUMS, TUKUM\LV 3101   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
31.12.2023;EUR;10,56;ZVAIGZNE ABC-TUKUMS\BRIVIBAS LAUKUMS 13\TUKUMS\UNKNOWN      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
31.12.2023;EUR;13,3;KAFEJNICA PILS - DARZS\PILS IELA 6A              \TUKUMS       \LV-3101   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
31.12.2023;EUR;15,95;Janis Roze-Tukums\Pasta iela 14\Tukums\LV-3101   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
31.12.2023;EUR;39,17;Elvi-veikals-Engure\Juras iela 62, Engure\Engures nov,\LV-3113   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
31.12.2023;EUR;39,21;LIDL 111, TUKUMS, RAUD\RAUDAS IELA 17A           \TUKUMS       \LV-1002   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
31.12.2023;EUR;51,22;CIRCLE K TUKUMS       \MEZA IELA 30              \TUKUMS, TUKUM\LV 3101   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
31.12.2023;EUR;158;BILEŠU SERVISS SIA;AS LHV PANK;LHVBEE22;PMNTICDTESCT-izejošais zibmaks?jums, p?rrobežu
01.01.2024;EUR;0,21;SEB banka;SEB BANKA;UNLALV2X;PMNTICDTBOOK-P?rskait?jums no klienta konta uz bilances kontu
01.01.2024;EUR;24,3;SIA Genuine Food     \Katrinas laukums 1\Tukums\LV-3101   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
01.01.2024;EUR;99,47;RIMI CHM Saga (Stopini\Bikeru iela 4\DREILINI\LV-2130      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
02.01.2024;EUR;0,13;SEB banka;;;XTNDNTAVNTAV-Apkalpošanas maksas pazi?ojums
03.01.2024;EUR;0,16;RIMI CHM Saga (Stopini\Bikeru iela 4\DREILINI\LV-2130      LVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
03.01.2024;EUR;4,3;LIDO Spice\Lielirbes 29\Riga\LV1063    RIXLVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
03.01.2024;EUR;5,97;CIRCLE K DREILINI     \GRAUBICAS, DREILINI       \STOPINU NOVAD\LV 2130   LVALVA;SEB BANKA;UNLALV2X;PMNTCCRDOTHR-purchase in POS Dinamo payment card
